id,name,lat,lng
1001982051,Wanha Satama,60.165527777778,24.967527777778
1003576075,Why join the navy when you can be a pirate,60.167505380348,24.936018279826
1005118404,Sauna2 Kamppi,60.16944,24.9215899
1006043900,Lapinlahden Lähde,60.166851,24.9162884
1006139405,Kauppatori Helsinki,60.167631171579,24.95405355
1006260,Dubrovnik Lounge & Lobby,60.16704705364,24.934195576829
1006698255,Momotoko,60.16981660549,24.946874003922
1008407542,Haapalainen Suutarijääskö Dance Studios Oy,60.16194956625,24.90244493275
1008622889,The Old Skiffer,60.160708575079,24.941769863492
1009712010,Astoria-sali,60.163284828824,24.942503251176
1010972011,O'Learys Bakers,60.168230704603,24.940533692063
1011964840,Linnankellari,60.166595666667,24.96910304
1013503799,"Pizzarium, Helsinki",60.169093451176,24.948115393529
1014299799,G Lounge - Skybar&club,60.1688919,24.9367695
1014670314,Marina Congress Center,60.165372767429,24.963994744857
1014724768,Suomen Punainen Risti,60.1598282,24.9548893
1014999000,Escape Room,60.165835145522,24.934554113731
1015014605,Espresso House,60.169108754254,24.932046822463
1015139856,Ravintola Regina,60.158182994118,24.949208019118
1015973470,"Escape room  ""Komnata Quest Helsinki""",60.166928906667,24.967059033333
1015982725,Fantastico,60.17505,24.92823
1016351534,Helsingin kaupungintalo,60.1681,24.9529
1016534150,Spider's Tattoo,60.17028285817,24.928854166053
1017194760,Tuomiokirkko,60.170018432667,24.952107230333
1017380477,Arkadia International Bookshop,60.173378296803,24.929300934025
101798064,Metropolia,60.1659946,24.931337661428
1018065134,"Eckerö Line, M/s Finlandia",60.15689715,24.921470333333
1018308686,Cantores Minores,60.169758224895,24.958710089761
1018388995,Frangipani Bakery Boutique,60.173399463333,24.958461523333
1018546058,Restaurant Grön,60.164837190286,24.932620595143
1018669155,"Hotel Kämp - A Luxury Hotel Collection - Helsinki, Finland.",60.168390991888,24.946635992879
1018702535,Creat Space,60.160653203104,24.937624114109
1018938735,Secret Spot Helsinki,60.1709404,24.9304199
1019134255,"Porvoo, Finnland",60.1700218,24.93971
1019408464,Haaga-Perho,60.1704407,24.9212494
1019495990,Lucy Loves Stories,60.1530914,24.9294796
1019545663,Starbucks Kamppi,60.169367141538,24.933233344615
